Day_of_Week,Time_of_Booking,Days_Before_Travel,Train_Popularity,Season,Travel_Class,Num_Passengers,Booking_Type,Waiting_List_Position,Ticket_Confirmed
Mon,Afternoon,37,Medium,Holiday,1AC,1,Normal,50,1
Thu,Morning,14,High,Holiday,Sleeper,5,Tatkal,68,1
Sat,Evening,10,Low,Holiday,2AC,1,Tatkal,61,1
Tue,Morning,24,Low,Normal,2AC,3,Normal,15,0
Tue,Night,25,Low,Festival,3AC,2,Tatkal,47,0
Mon,Afternoon,117,Medium,Holiday,2AC,5,Tatkal,76,0
Tue,Morning,38,Medium,Normal,1AC,2,Normal,81,0
Fri,Evening,55,High,Holiday,Sleeper,2,Tatkal,55,0
Tue,Evening,50,Medium,Normal,3AC,3,Tatkal,83,0
Thu,Evening,100,High,Festival,1AC,4,Tatkal,16,0
Thu,Night,99,Low,Holiday,2AC,2,Normal,97,1
Sun,Morning,32,High,Normal,2AC,3,Tatkal,57,0
Thu,Morning,111,High,Normal,1AC,1,Tatkal,50,0
Sun,Evening,107,Low,Festival,Sleeper,2,Normal,4,1
Thu,Evening,19,Low,Holiday,Sleeper,2,Normal,14,1
Fri,Evening,113,Medium,Holiday,Sleeper,3,Tatkal,34,1
Sun,Night,51,High,Festival,Sleeper,1,Normal,44,0
Wed,Night,33,Medium,Festival,3AC,4,Normal,47,0
Sat,Afternoon,44,High,Holiday,3AC,4,Normal,34,0
Mon,Afternoon,75,High,Normal,1AC,5,Normal,84,1
Thu,Afternoon,99,Low,Holiday,3AC,1,Normal,92,1
Tue,Evening,3,Low,Festival,2AC,3,Tatkal,0,1
Thu,Night,12,High,Holiday,Sleeper,4,Tatkal,46,0
Tue,Night,58,Medium,Festival,1AC,4,Normal,74,0
Sat,Afternoon,66,Medium,Festival,Sleeper,1,Tatkal,90,1
Sat,Evening,52,High,Normal,1AC,4,Normal,0,1
Sat,Morning,120,Low,Normal,Sleeper,2,Tatkal,3,1
Tue,Evening,16,High,Holiday,3AC,3,Normal,21,1
Thu,Evening,70,Low,Holiday,Sleeper,5,Tatkal,91,1
Sat,Afternoon,44,Low,Holiday,1AC,3,Normal,80,0
Fri,Night,46,High,Festival,3AC,1,Tatkal,35,0
Sun,Night,77,High,Normal,1AC,5,Tatkal,28,1
Tue,Morning,95,Medium,Normal,2AC,3,Tatkal,21,1
Tue,Night,111,Low,Holiday,Sleeper,2,Normal,39,0
Thu,Night,112,Low,Festival,2AC,5,Normal,60,0
Tue,Morning,25,High,Holiday,3AC,1,Tatkal,11,0
Tue,Morning,30,Medium,Festival,2AC,2,Tatkal,9,0
Sat,Afternoon,111,Medium,Normal,1AC,2,Tatkal,54,1
Thu,Afternoon,30,High,Holiday,1AC,1,Tatkal,88,1
Sat,Afternoon,79,Low,Holiday,1AC,2,Normal,24,1
Sun,Afternoon,59,Low,Festival,3AC,5,Normal,76,0
Sun,Night,0,Medium,Holiday,1AC,3,Tatkal,61,1
Sat,Afternoon,45,Medium,Normal,3AC,2,Normal,45,0
Sun,Evening,33,Low,Normal,2AC,1,Tatkal,91,1
Thu,Morning,89,Medium,Normal,Sleeper,2,Normal,69,1
Mon,Afternoon,53,High,Normal,Sleeper,2,Normal,42,0
Sat,Morning,58,Low,Normal,Sleeper,4,Normal,42,0
Fri,Night,93,Medium,Normal,Sleeper,4,Tatkal,79,1
Fri,Afternoon,40,Medium,Festival,Sleeper,1,Tatkal,86,1
Tue,Evening,50,Low,Festival,3AC,2,Tatkal,51,0
Sun,Morning,4,Medium,Normal,2AC,5,Normal,65,1
Fri,Afternoon,87,Medium,Normal,1AC,5,Tatkal,9,1
Tue,Evening,9,High,Holiday,2AC,3,Tatkal,96,0
Mon,Night,37,Medium,Festival,1AC,2,Tatkal,74,0
Thu,Evening,34,Medium,Festival,3AC,1,Tatkal,46,0
Thu,Night,65,High,Holiday,1AC,4,Tatkal,80,1
Thu,Morning,92,Low,Holiday,2AC,2,Tatkal,95,0
Fri,Afternoon,18,High,Festival,3AC,1,Tatkal,55,0
Mon,Evening,37,High,Normal,1AC,5,Normal,13,1
Fri,Evening,52,Medium,Festival,Sleeper,2,Normal,50,0
Sun,Evening,119,Low,Festival,2AC,2,Tatkal,94,0
Fri,Night,105,High,Holiday,1AC,2,Tatkal,73,1
Mon,Morning,49,Medium,Holiday,Sleeper,5,Normal,0,1
Mon,Morning,77,Medium,Normal,2AC,1,Normal,57,1
Sun,Afternoon,91,Medium,Holiday,1AC,5,Normal,15,1
Mon,Afternoon,33,Low,Normal,Sleeper,5,Tatkal,13,0
Mon,Morning,3,Medium,Normal,1AC,5,Tatkal,54,0
Thu,Morning,60,Medium,Festival,2AC,2,Tatkal,97,0
Sun,Morning,110,Medium,Holiday,Sleeper,4,Tatkal,77,0
Wed,Evening,88,Low,Festival,1AC,3,Tatkal,27,1
Wed,Night,116,High,Normal,1AC,2,Tatkal,12,1
Mon,Morning,118,Medium,Normal,3AC,3,Tatkal,17,1
Wed,Afternoon,118,Low,Holiday,Sleeper,3,Tatkal,75,1
Wed,Night,69,High,Festival,Sleeper,1,Normal,66,0
Mon,Evening,91,Low,Holiday,2AC,2,Normal,11,1
Wed,Night,101,High,Normal,2AC,3,Normal,88,0
Fri,Morning,8,High,Festival,2AC,1,Tatkal,97,0
Tue,Night,51,Low,Normal,2AC,3,Tatkal,66,0
Sun,Afternoon,81,Low,Festival,1AC,2,Tatkal,64,1
Tue,Night,118,Low,Normal,2AC,3,Tatkal,47,0
Mon,Morning,30,Medium,Normal,1AC,2,Tatkal,15,0
Thu,Night,85,High,Holiday,1AC,4,Tatkal,33,0
Sun,Night,67,Low,Holiday,3AC,4,Tatkal,98,0
Mon,Night,32,Low,Holiday,1AC,2,Tatkal,0,1
Thu,Afternoon,99,Medium,Normal,2AC,1,Tatkal,46,1
Tue,Night,117,High,Normal,3AC,1,Normal,23,1
Mon,Night,58,High,Holiday,3AC,3,Tatkal,80,1
Sun,Evening,34,Low,Normal,2AC,4,Normal,80,0
Sun,Night,12,High,Normal,1AC,3,Tatkal,46,0
Sat,Night,78,Medium,Holiday,Sleeper,2,Tatkal,13,0
Fri,Evening,60,Low,Festival,2AC,3,Tatkal,54,1
Wed,Afternoon,96,Medium,Holiday,1AC,5,Tatkal,49,1
Thu,Afternoon,91,Low,Normal,3AC,3,Normal,55,1
Sat,Evening,47,High,Festival,1AC,5,Tatkal,42,0
Wed,Evening,97,Low,Festival,1AC,1,Normal,62,0
Wed,Night,37,Low,Normal,2AC,3,Tatkal,19,0
Mon,Afternoon,64,Medium,Holiday,2AC,2,Tatkal,2,1
Wed,Afternoon,53,Medium,Festival,2AC,4,Tatkal,12,1
Fri,Night,30,High,Holiday,1AC,4,Tatkal,58,1
Sun,Morning,48,Medium,Festival,Sleeper,1,Normal,49,0
Sat,Night,80,Low,Festival,1AC,2,Tatkal,77,1
Wed,Morning,21,Medium,Holiday,2AC,5,Tatkal,43,0
Mon,Night,95,Medium,Normal,3AC,5,Normal,5,1
Fri,Evening,28,Low,Normal,Sleeper,3,Normal,53,0
Tue,Night,64,High,Festival,2AC,4,Normal,26,1
Sun,Evening,47,High,Festival,2AC,5,Normal,97,0
Sun,Morning,91,Medium,Festival,2AC,2,Tatkal,85,1
Sat,Morning,104,Low,Normal,2AC,5,Tatkal,99,1
Sun,Evening,65,High,Normal,1AC,3,Normal,68,1
Wed,Evening,24,Medium,Holiday,Sleeper,1,Tatkal,81,0
Mon,Afternoon,20,High,Holiday,2AC,5,Tatkal,38,0
Sun,Afternoon,100,High,Holiday,Sleeper,4,Normal,46,1
Sun,Night,25,Medium,Festival,1AC,1,Tatkal,33,1
Tue,Evening,103,Low,Festival,Sleeper,3,Normal,97,0
Tue,Morning,0,Low,Normal,2AC,4,Normal,36,1
Thu,Afternoon,31,High,Festival,1AC,2,Tatkal,58,1
Fri,Evening,72,Medium,Normal,2AC,2,Tatkal,86,1
Wed,Morning,45,Low,Festival,1AC,2,Tatkal,64,0
Sun,Morning,112,High,Normal,2AC,5,Tatkal,78,0
Sun,Evening,4,Low,Festival,Sleeper,3,Tatkal,46,0
Mon,Night,39,Medium,Festival,Sleeper,2,Tatkal,32,0
Thu,Afternoon,16,High,Festival,3AC,2,Normal,79,0
Fri,Afternoon,52,High,Holiday,1AC,3,Normal,19,1
Thu,Evening,92,High,Festival,Sleeper,5,Normal,39,0
Sat,Night,107,Low,Normal,1AC,4,Normal,58,1
Fri,Morning,82,Low,Festival,Sleeper,2,Normal,7,1
Sun,Night,103,Low,Holiday,3AC,4,Tatkal,75,1
Sun,Afternoon,28,Low,Festival,3AC,3,Tatkal,0,1
Fri,Evening,114,Medium,Holiday,1AC,5,Tatkal,71,1
Sun,Afternoon,75,High,Festival,1AC,4,Normal,55,0
Wed,Evening,7,High,Normal,1AC,2,Tatkal,92,1
Fri,Night,106,Medium,Holiday,2AC,2,Normal,85,1
Thu,Afternoon,42,Medium,Holiday,1AC,1,Normal,56,0
Fri,Night,94,High,Festival,1AC,5,Normal,3,1
Sun,Afternoon,14,Low,Festival,3AC,5,Normal,72,0
Wed,Night,33,Low,Normal,2AC,3,Tatkal,56,0
Wed,Afternoon,89,High,Normal,1AC,1,Tatkal,65,0
Sat,Evening,34,High,Normal,2AC,4,Tatkal,77,0
Thu,Night,92,Medium,Holiday,Sleeper,3,Tatkal,98,1
Tue,Night,32,Medium,Holiday,1AC,1,Tatkal,29,0
Tue,Evening,96,High,Normal,1AC,4,Normal,88,0
Fri,Morning,99,Medium,Holiday,1AC,1,Tatkal,31,0
Sat,Afternoon,20,Low,Normal,1AC,4,Tatkal,97,0
Mon,Afternoon,93,High,Holiday,2AC,2,Tatkal,94,1
Fri,Evening,18,Low,Festival,3AC,5,Normal,28,0
Sat,Afternoon,95,Medium,Holiday,2AC,3,Normal,9,1
Thu,Night,113,Medium,Festival,2AC,5,Normal,65,0
Thu,Night,0,Medium,Normal,3AC,5,Normal,11,1
Thu,Evening,50,High,Holiday,3AC,4,Normal,22,1
Thu,Night,32,Low,Normal,1AC,4,Tatkal,64,1
Thu,Morning,25,High,Normal,1AC,4,Normal,14,0
Sat,Afternoon,41,Low,Festival,Sleeper,4,Normal,17,0
Sat,Evening,53,Medium,Normal,3AC,3,Normal,39,0
Wed,Evening,44,Low,Normal,1AC,3,Tatkal,6,1
Tue,Afternoon,26,High,Normal,1AC,3,Normal,72,1
Sun,Morning,50,High,Normal,1AC,1,Normal,49,0
Thu,Evening,27,Low,Normal,1AC,3,Normal,59,1
Mon,Afternoon,83,Medium,Normal,3AC,5,Normal,62,0
Sun,Morning,7,Low,Holiday,1AC,5,Normal,71,1
Sat,Evening,89,Medium,Normal,1AC,2,Tatkal,73,1
Mon,Morning,30,High,Festival,3AC,3,Normal,56,0
Mon,Evening,4,High,Normal,Sleeper,5,Normal,45,0
Mon,Afternoon,10,High,Festival,1AC,3,Tatkal,32,0
Wed,Afternoon,84,High,Festival,1AC,1,Normal,6,1
Sat,Afternoon,71,Low,Festival,1AC,3,Tatkal,89,1
Mon,Morning,25,Medium,Normal,3AC,2,Tatkal,5,0
Thu,Night,59,Medium,Holiday,1AC,5,Tatkal,66,0
Fri,Morning,45,Medium,Normal,Sleeper,1,Normal,36,0
Mon,Afternoon,11,Low,Holiday,3AC,1,Normal,68,0
Wed,Evening,106,High,Normal,Sleeper,4,Tatkal,51,1
Sun,Night,12,High,Festival,2AC,2,Normal,53,0
Sat,Morning,73,Medium,Normal,1AC,2,Tatkal,41,1
Wed,Morning,115,High,Festival,1AC,4,Normal,81,0
Mon,Evening,92,High,Holiday,1AC,5,Tatkal,54,1
Sat,Evening,7,Low,Normal,2AC,1,Tatkal,5,1
Fri,Afternoon,41,High,Holiday,2AC,5,Normal,25,1
Mon,Morning,116,Low,Normal,Sleeper,3,Tatkal,33,1
Wed,Evening,101,Low,Festival,3AC,5,Normal,8,1
Tue,Evening,64,Medium,Festival,2AC,1,Normal,31,0
Thu,Night,8,Medium,Normal,Sleeper,3,Normal,91,1
Sun,Afternoon,3,Medium,Holiday,3AC,2,Tatkal,28,0
Wed,Afternoon,96,Low,Holiday,2AC,4,Normal,35,1
Sat,Morning,54,High,Festival,3AC,3,Normal,80,0
Mon,Evening,105,High,Holiday,2AC,1,Normal,34,1
Thu,Afternoon,115,High,Festival,3AC,5,Tatkal,84,0
Mon,Morning,84,Low,Normal,3AC,4,Tatkal,71,1
Sat,Afternoon,70,Medium,Festival,1AC,5,Normal,26,0
Mon,Morning,54,High,Normal,1AC,1,Normal,10,1
Tue,Evening,95,Low,Normal,2AC,2,Tatkal,25,1
Thu,Afternoon,56,Low,Holiday,1AC,3,Tatkal,7,1
Thu,Morning,56,Medium,Holiday,3AC,4,Normal,87,1
Sat,Morning,38,High,Normal,1AC,1,Normal,76,0
Sun,Evening,27,High,Normal,3AC,1,Tatkal,20,0
Tue,Afternoon,25,High,Festival,1AC,2,Normal,37,0
Wed,Morning,120,High,Festival,1AC,2,Tatkal,64,1
Mon,Morning,100,Medium,Normal,3AC,3,Tatkal,56,0
Fri,Morning,97,High,Holiday,2AC,2,Normal,40,0
Mon,Morning,72,Low,Holiday,3AC,5,Normal,77,1
Mon,Afternoon,69,Low,Festival,Sleeper,2,Normal,2,1
Wed,Night,21,Medium,Normal,3AC,2,Tatkal,32,0
Mon,Afternoon,72,Medium,Festival,Sleeper,3,Normal,39,1
Tue,Morning,110,Low,Holiday,3AC,1,Normal,74,1
Tue,Afternoon,44,Low,Festival,Sleeper,5,Normal,0,0
Thu,Afternoon,14,Low,Festival,Sleeper,3,Normal,1,0
Sat,Evening,64,Low,Holiday,Sleeper,2,Tatkal,4,1
Sun,Evening,95,High,Holiday,Sleeper,1,Normal,51,0
Fri,Morning,110,High,Holiday,1AC,2,Tatkal,10,0
Mon,Night,17,Low,Normal,3AC,2,Tatkal,95,0
Mon,Evening,10,Low,Normal,Sleeper,1,Normal,31,0
Wed,Afternoon,98,High,Festival,1AC,2,Tatkal,76,1
Sat,Morning,96,Medium,Festival,2AC,5,Normal,96,0
Tue,Night,3,Low,Festival,3AC,4,Normal,73,0
Fri,Evening,33,Low,Festival,3AC,1,Normal,38,0
Thu,Morning,47,Medium,Normal,2AC,4,Tatkal,56,0
Tue,Night,82,High,Festival,Sleeper,3,Normal,87,0
Sat,Morning,47,Low,Festival,1AC,5,Tatkal,74,0
Sun,Night,75,Medium,Holiday,3AC,4,Tatkal,11,1
Thu,Evening,39,Medium,Normal,2AC,4,Tatkal,35,0
Sun,Afternoon,58,Low,Festival,3AC,4,Tatkal,93,0
Wed,Afternoon,99,Medium,Holiday,2AC,5,Normal,25,1
Wed,Evening,47,Medium,Normal,2AC,1,Normal,10,0
Mon,Evening,40,Low,Holiday,1AC,1,Normal,74,1
Sun,Evening,21,Low,Holiday,2AC,1,Normal,16,1
Sat,Night,110,Medium,Normal,2AC,5,Normal,59,1
Fri,Night,63,Low,Holiday,Sleeper,4,Tatkal,62,0
Thu,Night,75,Low,Festival,Sleeper,2,Tatkal,81,0
Tue,Night,48,Medium,Holiday,1AC,5,Normal,25,1
Sat,Night,117,Low,Normal,2AC,5,Normal,48,1
Sat,Night,54,High,Normal,3AC,1,Normal,64,1
Wed,Night,91,Low,Normal,2AC,3,Normal,67,1
Sun,Evening,14,High,Normal,3AC,2,Tatkal,17,1
Mon,Night,3,Medium,Festival,Sleeper,2,Tatkal,86,0
Mon,Morning,7,Medium,Holiday,Sleeper,5,Tatkal,64,0
Thu,Night,94,Low,Festival,Sleeper,2,Tatkal,95,0
Wed,Afternoon,59,Low,Holiday,1AC,1,Tatkal,62,1
Sat,Afternoon,89,Medium,Normal,3AC,5,Tatkal,62,1
Fri,Evening,2,Low,Holiday,2AC,3,Normal,22,1
Wed,Afternoon,102,Low,Festival,3AC,2,Normal,47,0
Thu,Afternoon,6,Medium,Festival,1AC,4,Normal,53,1
Thu,Afternoon,78,Medium,Festival,1AC,2,Tatkal,95,0
Wed,Evening,83,High,Holiday,2AC,2,Tatkal,27,0
Thu,Evening,16,High,Festival,Sleeper,2,Tatkal,57,0
Wed,Night,95,Medium,Festival,2AC,2,Tatkal,81,1
Tue,Afternoon,9,Medium,Holiday,3AC,1,Normal,88,0
Wed,Night,79,High,Festival,Sleeper,1,Normal,19,0
Sun,Evening,111,Medium,Holiday,1AC,5,Normal,69,1
Wed,Night,25,Medium,Festival,1AC,1,Tatkal,84,0
Thu,Night,21,Medium,Normal,2AC,1,Normal,1,1
Sun,Afternoon,14,Low,Holiday,1AC,3,Tatkal,35,1
Thu,Evening,57,High,Festival,2AC,1,Tatkal,43,0
Mon,Afternoon,59,High,Normal,3AC,1,Tatkal,78,0
Mon,Night,75,High,Holiday,1AC,4,Tatkal,41,0
Sun,Evening,38,Medium,Festival,Sleeper,1,Normal,47,0
Tue,Night,2,Medium,Holiday,1AC,5,Normal,59,1
Mon,Night,59,Low,Normal,Sleeper,3,Normal,91,0
Wed,Afternoon,52,High,Festival,1AC,1,Tatkal,42,0
Thu,Evening,23,Medium,Holiday,2AC,4,Tatkal,50,1
Mon,Evening,54,Medium,Festival,1AC,2,Normal,55,1
Mon,Afternoon,1,Low,Normal,2AC,5,Tatkal,92,0
Tue,Morning,67,Medium,Holiday,2AC,4,Tatkal,99,0
Sun,Afternoon,22,High,Normal,Sleeper,5,Normal,79,0
Sun,Afternoon,58,High,Festival,Sleeper,2,Normal,57,0
Sat,Morning,56,High,Normal,2AC,3,Tatkal,81,1
Tue,Evening,86,High,Normal,3AC,5,Normal,8,1
Wed,Morning,71,Low,Holiday,2AC,1,Normal,2,1
Sun,Night,41,Medium,Holiday,Sleeper,5,Tatkal,49,0
Thu,Night,107,Low,Festival,2AC,2,Normal,7,1
Tue,Afternoon,11,Low,Normal,Sleeper,5,Normal,15,0
Mon,Night,72,High,Normal,Sleeper,2,Normal,48,0
Thu,Morning,74,High,Holiday,2AC,4,Normal,17,0
Thu,Night,108,Medium,Holiday,3AC,5,Normal,96,0
Mon,Evening,94,High,Festival,Sleeper,5,Normal,35,0
Tue,Afternoon,0,Low,Normal,3AC,4,Normal,53,1
Mon,Afternoon,98,Low,Normal,3AC,4,Tatkal,14,1
Sat,Evening,53,Low,Holiday,1AC,3,Tatkal,26,1
Thu,Evening,119,Medium,Normal,1AC,5,Normal,34,1
Fri,Afternoon,42,Low,Normal,3AC,4,Normal,62,0
Fri,Evening,61,Medium,Festival,2AC,2,Normal,68,1
Wed,Night,14,High,Holiday,1AC,3,Normal,86,0
Sun,Night,6,Medium,Holiday,1AC,4,Normal,99,1
Mon,Night,27,High,Holiday,2AC,5,Normal,43,1
Mon,Night,111,High,Holiday,3AC,2,Normal,34,1
Wed,Morning,5,High,Festival,3AC,3,Tatkal,26,0
Wed,Morning,19,Medium,Festival,3AC,1,Normal,98,0
Wed,Morning,87,Medium,Normal,2AC,1,Tatkal,76,1
Thu,Morning,41,High,Festival,2AC,3,Normal,39,1
Sat,Night,99,Low,Festival,1AC,4,Normal,25,1
Mon,Night,37,Low,Holiday,2AC,3,Tatkal,68,1
Thu,Evening,61,High,Normal,1AC,2,Normal,77,1
Wed,Morning,75,Low,Holiday,1AC,4,Tatkal,96,1
Mon,Morning,2,Medium,Holiday,2AC,1,Tatkal,71,0
Thu,Afternoon,27,High,Festival,2AC,5,Normal,58,0
Sat,Evening,11,Low,Normal,2AC,2,Tatkal,82,1
Thu,Night,118,Low,Normal,2AC,3,Normal,81,1
Sat,Evening,79,Low,Festival,1AC,3,Normal,56,1
Wed,Evening,43,Medium,Holiday,2AC,3,Tatkal,19,0
Sat,Afternoon,14,Medium,Holiday,2AC,4,Tatkal,61,0
Mon,Afternoon,117,Low,Festival,Sleeper,2,Tatkal,40,1
Wed,Evening,54,Low,Normal,1AC,5,Normal,51,1
Mon,Morning,94,Low,Normal,3AC,2,Tatkal,92,1
Fri,Night,116,Low,Festival,2AC,5,Tatkal,17,0
Tue,Afternoon,84,High,Holiday,3AC,5,Normal,89,0
Sat,Afternoon,81,Low,Festival,1AC,1,Normal,95,0
Tue,Night,47,Low,Normal,Sleeper,4,Normal,31,0
Tue,Afternoon,5,High,Normal,2AC,1,Normal,84,1
Sat,Evening,63,High,Normal,3AC,5,Normal,83,0
Wed,Night,80,Low,Normal,2AC,3,Normal,72,1
Fri,Morning,86,Low,Festival,3AC,2,Tatkal,28,1
Mon,Afternoon,34,High,Holiday,Sleeper,3,Normal,10,1
Thu,Afternoon,81,Medium,Festival,1AC,2,Normal,25,1
Mon,Evening,10,Medium,Festival,Sleeper,4,Tatkal,40,1
Thu,Morning,22,Medium,Holiday,3AC,5,Normal,41,1
Mon,Afternoon,56,High,Normal,1AC,4,Tatkal,97,1
Sat,Night,80,Low,Holiday,Sleeper,1,Tatkal,87,1
Fri,Night,69,Medium,Normal,Sleeper,3,Tatkal,7,1
Thu,Evening,87,Medium,Normal,Sleeper,4,Tatkal,31,0
Sun,Evening,113,Low,Festival,3AC,3,Normal,91,0
Wed,Afternoon,36,High,Holiday,2AC,4,Normal,99,1
Mon,Evening,62,Medium,Festival,2AC,2,Tatkal,49,0
Mon,Night,79,Medium,Holiday,Sleeper,3,Normal,37,0
Thu,Evening,92,Low,Holiday,2AC,1,Normal,72,0
Wed,Night,28,Low,Festival,1AC,4,Tatkal,6,1
Wed,Afternoon,115,High,Holiday,1AC,1,Tatkal,16,0
Sat,Night,41,Low,Holiday,3AC,5,Normal,100,1
Sun,Evening,27,High,Holiday,1AC,1,Normal,15,0
Sat,Night,15,High,Holiday,Sleeper,1,Normal,9,1
Sat,Night,66,Low,Holiday,3AC,5,Tatkal,82,1
Sat,Morning,105,Medium,Festival,2AC,1,Tatkal,41,0
Sat,Morning,87,Medium,Holiday,1AC,5,Tatkal,6,1
Sat,Afternoon,17,Medium,Holiday,1AC,3,Normal,11,0
Fri,Night,47,Low,Festival,2AC,1,Tatkal,79,1
Wed,Night,16,High,Festival,1AC,4,Tatkal,62,0
Sat,Night,112,High,Festival,1AC,2,Tatkal,95,0
Wed,Morning,73,Low,Holiday,Sleeper,5,Tatkal,36,1
Wed,Night,100,Low,Festival,Sleeper,2,Normal,38,1
Tue,Morning,24,Low,Holiday,1AC,4,Tatkal,13,1
Fri,Afternoon,99,Low,Normal,Sleeper,3,Tatkal,99,0
Sat,Night,110,Medium,Holiday,Sleeper,4,Normal,59,1
Mon,Night,47,Medium,Festival,2AC,1,Normal,10,1
Thu,Evening,86,Medium,Festival,Sleeper,1,Normal,35,1
Sun,Morning,49,Medium,Festival,2AC,4,Tatkal,75,1
Mon,Evening,18,High,Festival,1AC,4,Normal,34,1
Fri,Afternoon,73,Medium,Normal,2AC,2,Normal,34,1
Thu,Morning,74,Low,Normal,1AC,4,Normal,27,1
Fri,Night,40,Low,Festival,3AC,4,Normal,60,0
Wed,Night,4,Low,Festival,2AC,3,Tatkal,89,1
Thu,Night,5,Medium,Festival,2AC,5,Tatkal,60,0
Wed,Night,2,Medium,Normal,Sleeper,5,Normal,64,1
Mon,Afternoon,44,Low,Normal,1AC,5,Normal,79,0
Mon,Night,101,Low,Holiday,Sleeper,4,Normal,40,0
Thu,Night,74,Medium,Festival,1AC,4,Normal,44,1
Thu,Night,60,High,Holiday,3AC,1,Tatkal,50,1
Sat,Evening,111,Low,Festival,Sleeper,1,Normal,17,0
Fri,Afternoon,106,Medium,Holiday,Sleeper,3,Tatkal,23,0
Sat,Morning,105,Low,Normal,3AC,1,Tatkal,11,1
Fri,Afternoon,47,Medium,Normal,Sleeper,5,Tatkal,7,0
Sat,Afternoon,23,Medium,Normal,1AC,5,Normal,83,0
Wed,Afternoon,109,High,Festival,Sleeper,4,Normal,37,1
Thu,Night,47,High,Festival,Sleeper,4,Normal,27,1
Mon,Evening,25,High,Normal,3AC,4,Normal,74,0
